layer,feature_id,label,label_confidence
0,1234,example feature 1,0.85
0,5678,example feature 2,0.78
0,9012,example feature 3,0.72
0,3456,example feature 4,0.68
0,7890,example feature 5,0.65
1,2345,example feature 1,0.82
1,6789,example feature 2,0.76
1,1011,example feature 3,0.71
1,1213,example feature 4,0.69
1,1415,example feature 5,0.64
2,3456,example feature 1,0.88
2,7891,example feature 2,0.79
2,2345,example feature 3,0.74
2,6789,example feature 4,0.67
2,1234,example feature 5,0.62
3,4567,example feature 1,0.84
3,8901,example feature 2,0.77
3,2345,example feature 3,0.73
3,6789,example feature 4,0.68
3,1234,example feature 5,0.63
4,5678,example feature 1,0.86
4,9012,example feature 2,0.78
4,3456,example feature 3,0.72
4,7890,example feature 4,0.69
4,1234,example feature 5,0.64
5,6789,example feature 1,0.83
5,1011,example feature 2,0.76
5,1213,example feature 3,0.71
5,1415,example feature 4,0.68
5,1617,example feature 5,0.63
6,7890,example feature 1,0.87
6,1234,example feature 2,0.79
6,5678,example feature 3,0.74
6,9012,example feature 4,0.67
6,3456,example feature 5,0.62
7,8901,example feature 1,0.85
7,2345,example feature 2,0.78
7,6789,example feature 3,0.72
7,1011,example feature 4,0.68
7,1213,example feature 5,0.64
8,9012,example feature 1,0.84
8,3456,example feature 2,0.77
8,7890,example feature 3,0.73
8,1234,example feature 4,0.69
8,5678,example feature 5,0.63
9,1011,example feature 1,0.86
9,1213,example feature 2,0.78
9,1415,example feature 3,0.72
9,1617,example feature 4,0.68
9,1819,example feature 5,0.64
10,1213,example feature 1,0.83
10,1415,example feature 2,0.76
10,1617,example feature 3,0.71
10,1819,example feature 4,0.67
10,2021,example feature 5,0.62
11,1415,example feature 1,0.88
11,1617,example feature 2,0.79
11,1819,example feature 3,0.74
11,2021,example feature 4,0.68
11,2223,example feature 5,0.63
